begin,end
31352,31463
31464,31516
31517,31579
31580,31680
31681,31785
31786,32035
32036,32210
32211,32464
32465,32654
32655,32731
32732,32932
32933,33253
33254,33458
33459,33882
33883,34134
34135,34638
34639,35085
35086,35315
35316,35730
35731,35882
35883,36018
36019,36139
36140,36237
36238,36329
36330,36390
36391,36505
36506,36801
36802,36969
36970,37090
37091,37151
37152,37227
37228,37378
37379,37443
37444,37606
37607,37739
37740,37915
37916,38151
38152,38333
38334,38473
38474,38547
38548,38626
38627,38687
38688,38763
38764,38812
38813,38911
38912,39029
39030,39102
39103,39197
39198,39257
39258,39301
39302,39333
39334,39444
39445,39512
39513,39616
39617,39633
39634,39657
39658,39669
39670,39734
39735,39757
39758,39790
39791,39823
39824,39850
39851,39862
39863,39917
39918,39966
39967,40147
40148,40444
40445,40477
40478,40552
40553,40622
40623,40677
40678,40712
40713,40773
40774,40886
40887,40903
40904,40962
40963,40981
40982,41049
41050,41073
41074,41172
41173,41234
41235,41313
41314,41371
41372,41387
41388,41399
41400,41443
41444,41541
41542,41779
41780,41957
41958,42227
42228,42437
42438,42609
42610,42753
42754,42965
42966,43229
43230,43503
43504,43727
43728,43915
43916,44097
44098,44253
44254,44338
44339,44478
44479,44600
44601,44667
44668,44791
44792,44906
44907,45066
45067,45189
45190,45377
45378,45608
45609,45793
45794,45909
45910,46014
46015,46122
46123,46215
46216,46378
46379,46471
46472,46790
46791,47032
47033,47613
47614,47889
47890,48149
48150,48339
48340,48481
48482,48595
48596,48756
48757,48862
48863,48962
48963,49026
49027,49106
49107,49175
49176,49234
49235,49363
49364,49495
49496,49676
49677,49735
49736,49869
49870,49997
49998,50059
50060,50185
50186,50253
50254,50304
50305,50422
50423,50486
50487,50562
50563,50630
50631,50700
50701,50733
50734,50856
50857,50908
50909,50927
50928,50987
50988,51026
51027,51123
51124,51212
51213,51474
51475,51615
51616,51718
51719,51794
51795,51887
51888,51975
51976,52140
52141,52253
52254,52404
52405,52505
52506,52577
52578,52809
52810,52927
52928,53052
53053,53180
53181,53233
53234,53382
53383,54155
54156,54435
54436,54655
54656,54934
54935,55488
55489,55845
55846,56360
56361,56588
56589,56807
56808,56957
56958,57157
57158,57372
57373,57615
57616,57773
57774,57993
57994,58173
58174,58271
58272,58364
58365,58455
58456,58532
58533,58674
58675,58790
58791,58959
58960,59056
59057,59112
59113,59152
59153,59196
59197,59241
59242,59276
59277,59333
59334,59352
59353,59390
59391,59431
59432,59622
59623,59692
59693,59773
59774,59893
59894,59992
59993,60025
60026,60044
60045,60062
60063,60096
60097,60148
60149,60254
60255,60474
60475,60505
60506,60529
60530,60563
60564,60594
60595,60657
60658,60696
60697,60717
60718,60742
60743,60763
60764,60775
60776,60804
60805,61091
61092,61143
61144,61166
61167,61233
61234,61280
61281,61340
61341,61389
61390,61462
61463,61560
61561,61622
61623,61661
61662,61714
61715,61852
61853,61893
61894,62030
62031,62160
62161,62285
62286,62398
62399,62499
62500,62626
62627,62744
62745,62956
62957,63241
63242,63391
63392,63529
63530,63625
63626,63733
63734,63921
63922,64018
64019,64089
64090,64263
64264,65057
65058,65807
65808,66071
66072,66244
66245,66474
66475,66603
66604,66684
66685,66745
66746,66829
66830,66946
66947,67044
67045,67276
67277,67362
67363,67424
67425,67631
67632,67742
67743,67852
67853,67924
67925,67998
67999,68168
68169,68214
68215,68484
68485,68632
68633,68709
68710,68761
68762,68952
68953,69245
69246,69370
69371,69720
69721,70140
70141,70396
70397,70821
70822,71005
71006,71433
71434,71620
71621,71843
71844,72512
72547,72568
72569,73935
